,0,1,2
385,14HR05-0504S,17HM19-2004S,16HM17-0304S
386,14HR05-0504S,17HM19-2004S,17HM08-1204S
387,14HR05-0504S,17HM19-2004S,17HM13-0316D
388,14HR05-0504S,17HM19-2004S,17HM13-0316S
389,14HR05-0504S,17HM19-2004S,17HM15-0406S
390,14HR05-0504S,17HM19-2004S,17HM15-0904S
391,14HR05-0504S,17HM19-2004S,17HM15-1004S
392,14HR05-0504S,17HM19-2004S,17ME15-1504S
393,14HR05-0504S,17HM19-2004S,17HM19-0406D
394,14HR05-0504S,17HM19-2004S,17HM19-1684S
395,14HR05-0504S,17HM19-2004S,17HM19-1684D
396,14HR05-0504S,17HM19-2004S,17HM19-2004S
397,14HR05-0504S,17HM19-2004S,17HM19-2004S1
398,14HR05-0504S,17HM19-2004S,23HM22-2804S
399,14HR05-0504S,17HM19-2004S1,14HR05-0504S
400,14HR05-0504S,17HM19-2004S1,14HR08-0654S
401,14HR05-0504S,17HM19-2004S1,14HM08-0504S
402,14HR05-0504S,17HM19-2004S1,14HM11-0404S
403,14HR05-0504S,17HM19-2004S1,16HM09-1204S
404,14HR05-0504S,17HM19-2004S1,16HM10-0604S
405,14HR05-0504S,17HM19-2004S1,16HM13-0404S
406,14HR05-0504S,17HM19-2004S1,16HM17-0304S
407,14HR05-0504S,17HM19-2004S1,17HM08-1204S
408,14HR05-0504S,17HM19-2004S1,17HM13-0316D
409,14HR05-0504S,17HM19-2004S1,17HM13-0316S
410,14HR05-0504S,17HM19-2004S1,17HM15-0406S
411,14HR05-0504S,17HM19-2004S1,17HM15-0904S
412,14HR05-0504S,17HM19-2004S1,17HM15-1004S
413,14HR05-0504S,17HM19-2004S1,17ME15-1504S
414,14HR05-0504S,17HM19-2004S1,17HM19-0406D
415,14HR05-0504S,17HM19-2004S1,17HM19-1684S
416,14HR05-0504S,17HM19-2004S1,17HM19-1684D
417,14HR05-0504S,17HM19-2004S1,17HM19-2004S
418,14HR05-0504S,17HM19-2004S1,17HM19-2004S1
419,14HR05-0504S,17HM19-2004S1,23HM22-2804S
420,14HR05-0504S,23HM22-2804S,14HR08-0654S
421,14HR05-0504S,23HM22-2804S,14HM11-0404S
422,14HR05-0504S,23HM22-2804S,16HM09-1204S
423,14HR05-0504S,23HM22-2804S,16HM10-0604S
424,14HR05-0504S,23HM22-2804S,16HM13-0404S
425,14HR05-0504S,23HM22-2804S,16HM17-0304S
426,14HR05-0504S,23HM22-2804S,17HM08-1204S
427,14HR05-0504S,23HM22-2804S,17HM13-0316D
428,14HR05-0504S,23HM22-2804S,17HM13-0316S
429,14HR05-0504S,23HM22-2804S,17HM15-0406S
430,14HR05-0504S,23HM22-2804S,17HM15-0904S
431,14HR05-0504S,23HM22-2804S,17HM15-1004S
432,14HR05-0504S,23HM22-2804S,17ME15-1504S
433,14HR05-0504S,23HM22-2804S,17HM19-0406D
434,14HR05-0504S,23HM22-2804S,17HM19-1684S
435,14HR05-0504S,23HM22-2804S,17HM19-1684D
436,14HR05-0504S,23HM22-2804S,17HM19-2004S
437,14HR05-0504S,23HM22-2804S,17HM19-2004S1
438,14HR05-0504S,23HM22-2804S,23HM22-2804S
439,14HR08-0654S,14HR05-0504S,14HR05-0504S
440,14HR08-0654S,14HR05-0504S,14HR08-0654S
441,14HR08-0654S,14HR05-0504S,14HM08-0504S
442,14HR08-0654S,14HR05-0504S,14HM11-0404S
443,14HR08-0654S,14HR05-0504S,16HM09-1204S
444,14HR08-0654S,14HR05-0504S,16HM10-0604S
445,14HR08-0654S,14HR05-0504S,16HM13-0404S
446,14HR08-0654S,14HR05-0504S,16HM17-0304S
447,14HR08-0654S,14HR05-0504S,17HM08-1204S
448,14HR08-0654S,14HR05-0504S,17HM13-0316D
449,14HR08-0654S,14HR05-0504S,17HM13-0316S
450,14HR08-0654S,14HR05-0504S,17HM15-0406S
451,14HR08-0654S,14HR05-0504S,17HM15-0904S
